Sortowanie,RozmiarTablicy,MetodaInicjalizacji,CzasSortowania
InsertionSort,2500,random,17
InsertionSort,2500,ascending,0
InsertionSort,2500,descending,25
InsertionSort,2500,constant,0
InsertionSort,2500,v-shape,11
InsertionSort,5000,random,46
InsertionSort,5000,ascending,0
InsertionSort,5000,descending,108
InsertionSort,5000,constant,0
InsertionSort,5000,v-shape,49
InsertionSort,7500,random,126
InsertionSort,7500,ascending,0
InsertionSort,7500,descending,235
InsertionSort,7500,constant,0
InsertionSort,7500,v-shape,109
InsertionSort,10000,random,192
InsertionSort,10000,ascending,0
InsertionSort,10000,descending,387
InsertionSort,10000,constant,0
InsertionSort,10000,v-shape,191
InsertionSort,12500,random,298
InsertionSort,12500,ascending,0
InsertionSort,12500,descending,612
InsertionSort,12500,constant,0
InsertionSort,12500,v-shape,305
InsertionSort,15000,random,446
InsertionSort,15000,ascending,0
InsertionSort,15000,descending,896
InsertionSort,15000,constant,0
InsertionSort,15000,v-shape,475
InsertionSort,17500,random,628
InsertionSort,17500,ascending,0
InsertionSort,17500,descending,1183
InsertionSort,17500,constant,0
InsertionSort,17500,v-shape,595
InsertionSort,20000,random,800
InsertionSort,20000,ascending,0
InsertionSort,20000,descending,1596
InsertionSort,20000,constant,0
InsertionSort,20000,v-shape,757
InsertionSort,22500,random,982
InsertionSort,22500,ascending,0
InsertionSort,22500,descending,1958
InsertionSort,22500,constant,0
InsertionSort,22500,v-shape,975
InsertionSort,25000,random,1251
InsertionSort,25000,ascending,0
InsertionSort,25000,descending,2506
InsertionSort,25000,constant,0
InsertionSort,25000,v-shape,1264
InsertionSort,27500,random,1513
InsertionSort,27500,ascending,0
InsertionSort,27500,descending,2936
InsertionSort,27500,constant,0
InsertionSort,27500,v-shape,1459
InsertionSort,30000,random,1720
InsertionSort,30000,ascending,0
InsertionSort,30000,descending,3463
InsertionSort,30000,constant,0
InsertionSort,30000,v-shape,1736
InsertionSort,32500,random,2067
InsertionSort,32500,ascending,0
InsertionSort,32500,descending,4244
InsertionSort,32500,constant,0
InsertionSort,32500,v-shape,2051
InsertionSort,35000,random,2506
InsertionSort,35000,ascending,0
InsertionSort,35000,descending,4729
InsertionSort,35000,constant,0
InsertionSort,35000,v-shape,2473
InsertionSort,37500,random,2758
InsertionSort,37500,ascending,0
InsertionSort,37500,descending,5466
InsertionSort,37500,constant,0
InsertionSort,37500,v-shape,2722
InsertionSort,40000,random,3067
InsertionSort,40000,ascending,0
InsertionSort,40000,descending,6161
InsertionSort,40000,constant,0
InsertionSort,40000,v-shape,3148
InsertionSort,42500,random,4631
InsertionSort,42500,ascending,0
InsertionSort,42500,descending,9380
InsertionSort,42500,constant,0
InsertionSort,42500,v-shape,5131
InsertionSort,45000,random,4405
InsertionSort,45000,ascending,0
InsertionSort,45000,descending,7831
InsertionSort,45000,constant,0
InsertionSort,45000,v-shape,3861
InsertionSort,47500,random,4421
InsertionSort,47500,ascending,0
InsertionSort,47500,descending,9027
InsertionSort,47500,constant,0
InsertionSort,47500,v-shape,4591
InsertionSort,50000,random,5137
InsertionSort,50000,ascending,0
InsertionSort,50000,descending,12792
InsertionSort,50000,constant,0
InsertionSort,50000,v-shape,7636
SelectionSort,2500,random,36
SelectionSort,2500,ascending,46
SelectionSort,2500,descending,22
SelectionSort,2500,constant,31
SelectionSort,2500,v-shape,29
SelectionSort,5000,random,98
SelectionSort,5000,ascending,141
SelectionSort,5000,descending,179
SelectionSort,5000,constant,122
SelectionSort,5000,v-shape,155
SelectionSort,7500,random,230
SelectionSort,7500,ascending,293
SelectionSort,7500,descending,228
SelectionSort,7500,constant,204
SelectionSort,7500,v-shape,297
SelectionSort,10000,random,552
SelectionSort,10000,ascending,505
SelectionSort,10000,descending,587
SelectionSort,10000,constant,383
SelectionSort,10000,v-shape,506
SelectionSort,12500,random,824
SelectionSort,12500,ascending,752
SelectionSort,12500,descending,914
SelectionSort,12500,constant,775
SelectionSort,12500,v-shape,785
SelectionSort,15000,random,996
SelectionSort,15000,ascending,918
SelectionSort,15000,descending,1195
SelectionSort,15000,constant,923
SelectionSort,15000,v-shape,1061
SelectionSort,17500,random,1371
SelectionSort,17500,ascending,1453
SelectionSort,17500,descending,1675
SelectionSort,17500,constant,1515
SelectionSort,17500,v-shape,1556
SelectionSort,20000,random,1622
SelectionSort,20000,ascending,1701
SelectionSort,20000,descending,2156
SelectionSort,20000,constant,1953
SelectionSort,20000,v-shape,2371
SelectionSort,22500,random,2352
SelectionSort,22500,ascending,2583
SelectionSort,22500,descending,2876
SelectionSort,22500,constant,3361
SelectionSort,22500,v-shape,2594
SelectionSort,25000,random,3255
SelectionSort,25000,ascending,2872
SelectionSort,25000,descending,3821
SelectionSort,25000,constant,3010
SelectionSort,25000,v-shape,2844
SelectionSort,27500,random,3024
SelectionSort,27500,ascending,3042
SelectionSort,27500,descending,3560
SelectionSort,27500,constant,3058
SelectionSort,27500,v-shape,3110
SelectionSort,30000,random,3469
SelectionSort,30000,ascending,3964
SelectionSort,30000,descending,4549
SelectionSort,30000,constant,3774
SelectionSort,30000,v-shape,4439
SelectionSort,32500,random,4840
SelectionSort,32500,ascending,3970
SelectionSort,32500,descending,6670
SelectionSort,32500,constant,4902
SelectionSort,32500,v-shape,5493
SelectionSort,35000,random,5985
SelectionSort,35000,ascending,6215
SelectionSort,35000,descending,6781
SelectionSort,35000,constant,5408
SelectionSort,35000,v-shape,5796
SelectionSort,37500,random,6122
SelectionSort,37500,ascending,6033
SelectionSort,37500,descending,7267
SelectionSort,37500,constant,6106
SelectionSort,37500,v-shape,7178
SelectionSort,40000,random,7900
SelectionSort,40000,ascending,7717
SelectionSort,40000,descending,9576
SelectionSort,40000,constant,8272
SelectionSort,40000,v-shape,8568
SelectionSort,42500,random,8121
SelectionSort,42500,ascending,9057
SelectionSort,42500,descending,10047
SelectionSort,42500,constant,8707
SelectionSort,42500,v-shape,8398
SelectionSort,45000,random,9993
SelectionSort,45000,ascending,10033
SelectionSort,45000,descending,12491
SelectionSort,45000,constant,11675
SelectionSort,45000,v-shape,11002
SelectionSort,47500,random,7714
SelectionSort,47500,ascending,5742
SelectionSort,47500,descending,7529
SelectionSort,47500,constant,7936
SelectionSort,47500,v-shape,9002
SelectionSort,50000,random,7220
SelectionSort,50000,ascending,6342
SelectionSort,50000,descending,8609
SelectionSort,50000,constant,8954
SelectionSort,50000,v-shape,8341
HeapSort,2500,random,1
HeapSort,2500,ascending,0
HeapSort,2500,descending,1
HeapSort,2500,constant,0
HeapSort,2500,v-shape,0
HeapSort,5000,random,1
HeapSort,5000,ascending,1
HeapSort,5000,descending,1
HeapSort,5000,constant,0
HeapSort,5000,v-shape,1
HeapSort,7500,random,1
HeapSort,7500,ascending,1
HeapSort,7500,descending,1
HeapSort,7500,constant,0
HeapSort,7500,v-shape,1
HeapSort,10000,random,2
HeapSort,10000,ascending,2
HeapSort,10000,descending,2
HeapSort,10000,constant,0
HeapSort,10000,v-shape,2
HeapSort,12500,random,3
HeapSort,12500,ascending,3
HeapSort,12500,descending,3
HeapSort,12500,constant,0
HeapSort,12500,v-shape,3
HeapSort,15000,random,4
HeapSort,15000,ascending,4
HeapSort,15000,descending,4
HeapSort,15000,constant,0
HeapSort,15000,v-shape,3
HeapSort,17500,random,4
HeapSort,17500,ascending,4
HeapSort,17500,descending,5
HeapSort,17500,constant,0
HeapSort,17500,v-shape,4
HeapSort,20000,random,5
HeapSort,20000,ascending,5
HeapSort,20000,descending,5
HeapSort,20000,constant,1
HeapSort,20000,v-shape,5
HeapSort,22500,random,6
HeapSort,22500,ascending,6
HeapSort,22500,descending,6
HeapSort,22500,constant,0
HeapSort,22500,v-shape,6
HeapSort,25000,random,7
HeapSort,25000,ascending,6
HeapSort,25000,descending,9
HeapSort,25000,constant,1
HeapSort,25000,v-shape,8
HeapSort,27500,random,8
HeapSort,27500,ascending,8
HeapSort,27500,descending,7
HeapSort,27500,constant,1
HeapSort,27500,v-shape,7
HeapSort,30000,random,9
HeapSort,30000,ascending,8
HeapSort,30000,descending,10
HeapSort,30000,constant,1
HeapSort,30000,v-shape,8
HeapSort,32500,random,9
HeapSort,32500,ascending,11
HeapSort,32500,descending,8
HeapSort,32500,constant,1
HeapSort,32500,v-shape,10
HeapSort,35000,random,10
HeapSort,35000,ascending,9
HeapSort,35000,descending,10
HeapSort,35000,constant,1
HeapSort,35000,v-shape,9
HeapSort,37500,random,12
HeapSort,37500,ascending,12
HeapSort,37500,descending,13
HeapSort,37500,constant,1
HeapSort,37500,v-shape,13
HeapSort,40000,random,12
HeapSort,40000,ascending,12
HeapSort,40000,descending,11
HeapSort,40000,constant,2
HeapSort,40000,v-shape,11
HeapSort,42500,random,13
HeapSort,42500,ascending,12
HeapSort,42500,descending,13
HeapSort,42500,constant,1
HeapSort,42500,v-shape,12
HeapSort,45000,random,14
HeapSort,45000,ascending,13
HeapSort,45000,descending,13
HeapSort,45000,constant,1
HeapSort,45000,v-shape,14
HeapSort,47500,random,18
HeapSort,47500,ascending,14
HeapSort,47500,descending,14
HeapSort,47500,constant,2
HeapSort,47500,v-shape,13
HeapSort,50000,random,17
HeapSort,50000,ascending,16
HeapSort,50000,descending,14
HeapSort,50000,constant,4
HeapSort,50000,v-shape,14
CocktailSort,2500,random,30
CocktailSort,2500,ascending,0
CocktailSort,2500,descending,49
CocktailSort,2500,constant,0
CocktailSort,2500,v-shape,21
CocktailSort,5000,random,119
CocktailSort,5000,ascending,0
CocktailSort,5000,descending,174
CocktailSort,5000,constant,0
CocktailSort,5000,v-shape,92
CocktailSort,7500,random,290
CocktailSort,7500,ascending,0
CocktailSort,7500,descending,387
CocktailSort,7500,constant,0
CocktailSort,7500,v-shape,221
CocktailSort,10000,random,488
CocktailSort,10000,ascending,0
CocktailSort,10000,descending,670
CocktailSort,10000,constant,0
CocktailSort,10000,v-shape,382
CocktailSort,12500,random,754
CocktailSort,12500,ascending,0
CocktailSort,12500,descending,1022
CocktailSort,12500,constant,0
CocktailSort,12500,v-shape,597
CocktailSort,15000,random,1458
CocktailSort,15000,ascending,0
CocktailSort,15000,descending,2651
CocktailSort,15000,constant,0
CocktailSort,15000,v-shape,1985
CocktailSort,17500,random,2510
CocktailSort,17500,ascending,0
CocktailSort,17500,descending,3901
CocktailSort,17500,constant,0
CocktailSort,17500,v-shape,2203
CocktailSort,20000,random,3618
CocktailSort,20000,ascending,0
CocktailSort,20000,descending,4954
CocktailSort,20000,constant,0
CocktailSort,20000,v-shape,2848
CocktailSort,22500,random,4327
CocktailSort,22500,ascending,0
CocktailSort,22500,descending,5860
CocktailSort,22500,constant,0
CocktailSort,22500,v-shape,3726
CocktailSort,25000,random,5395
CocktailSort,25000,ascending,0
CocktailSort,25000,descending,7786
CocktailSort,25000,constant,0
CocktailSort,25000,v-shape,4342
CocktailSort,27500,random,6848
CocktailSort,27500,ascending,0
CocktailSort,27500,descending,10030
CocktailSort,27500,constant,0
CocktailSort,27500,v-shape,5376
CocktailSort,30000,random,7952
CocktailSort,30000,ascending,0
CocktailSort,30000,descending,10929
CocktailSort,30000,constant,0
CocktailSort,30000,v-shape,6603
CocktailSort,32500,random,9915
CocktailSort,32500,ascending,0
CocktailSort,32500,descending,14043
CocktailSort,32500,constant,0
CocktailSort,32500,v-shape,7465
CocktailSort,35000,random,10523
CocktailSort,35000,ascending,0
CocktailSort,35000,descending,16210
CocktailSort,35000,constant,0
CocktailSort,35000,v-shape,9789
CocktailSort,37500,random,13246
CocktailSort,37500,ascending,0
CocktailSort,37500,descending,18173
CocktailSort,37500,constant,0
CocktailSort,37500,v-shape,10843
CocktailSort,40000,random,14957
CocktailSort,40000,ascending,0
CocktailSort,40000,descending,13208
CocktailSort,40000,constant,0
CocktailSort,40000,v-shape,6038
CocktailSort,42500,random,11147
CocktailSort,42500,ascending,0
CocktailSort,42500,descending,17229
CocktailSort,42500,constant,0
CocktailSort,42500,v-shape,9543
CocktailSort,45000,random,10381
CocktailSort,45000,ascending,0
CocktailSort,45000,descending,21113
CocktailSort,45000,constant,0
CocktailSort,45000,v-shape,15814
CocktailSort,47500,random,20653
CocktailSort,47500,ascending,6
CocktailSort,47500,descending,31448
CocktailSort,47500,constant,0
CocktailSort,47500,v-shape,17614
CocktailSort,50000,random,24322
CocktailSort,50000,ascending,0
CocktailSort,50000,descending,34632
CocktailSort,50000,constant,0
CocktailSort,50000,v-shape,19221
